Iteration;RAPL-Value;Old-RAPL;New-RAPL;Ticks
0;173645;766726125;766899770;4827241
1;0;781336927;781336927;471320
2;0;789634697;789634697;219480
3;0;791737841;791737841;176698
4;0;794600687;794600687;299103
5;0;796319982;796319982;326792
6;0;798024934;798024934;317932
7;0;799704800;799704800;312749
8;0;801399742;801399742;318386
9;0;803163593;803163593;323071
10;0;804875014;804875014;338232
11;0;806574656;806574656;331552
12;0;808315862;808315862;342198
13;4089;810011537;810015626;307261
14;3907;811712826;811716733;298235
15;3906;813425713;813429619;395953
16;2502;815295947;815298449;301143
17;0;816997847;816997847;284949
18;0;818689188;818689188;193539
19;0;820459691;820459691;184932
20;0;822220429;822220429;285518
21;2136;823894741;823896877;722770
22;0;825555076;825555076;185564
23;0;827251483;827251483;166675
24;0;828992811;828992811;230539
Sec per tick: 0.000000001, ms per tick: 0.000001000, ns per tick: 1.000000000
Frequency: 1000000000
Iteration;RAPL-Value;Old-RAPL;New-RAPL;Ticks
0;0;830938302;830938302;108758
1;0;835122984;835122984;294325
2;0;837054925;837054925;189679
3;0;838848804;838848804;316939
4;0;840541427;840541427;321534
5;0;842365519;842365519;222369
6;0;844100378;844100378;381929
7;0;845819428;845819428;285644
8;0;847537625;847537625;257880
9;0;849242271;849242271;278815
10;0;850947162;850947162;242543
11;0;852635024;852635024;260879
12;3296;854313852;854317148;242454
13;2442;855979131;855981573;277014
14;0;857682374;857682374;244084
15;0;859335324;859335324;243209
16;0;861015495;861015495;192811
17;0;862699451;862699451;248667
18;2075;864400680;864402755;232655
19;0;866063944;866063944;247432
20;0;867740210;867740210;247588
21;0;869408785;869408785;248809
22;2137;871082486;871084623;260366
23;0;872792443;872792443;240806
24;0;874472553;874472553;244028
Sec per tick: 0.000000001, ms per tick: 0.000001000, ns per tick: 1.000000000
Frequency: 1000000000
Iteration;RAPL-Value;Old-RAPL;New-RAPL;Ticks
0;15564;876147903;876163467;147055
1;0;878376108;878376108;278533
2;0;880244755;880244755;372075
3;0;881941101;881941101;287226
4;0;883624752;883624752;213155
5;0;885299003;885299003;278001
6;0;887002306;887002306;301441
7;0;888666243;888666243;276116
8;0;890340738;890340738;312427
9;0;892024510;892024510;321583
10;0;893747528;893747528;280875
11;2808;895426174;895428982;261275
12;3479;897083030;897086509;260375
13;4333;898769061;898773394;258027
14;0;900483900;900483900;259758
15;0;902145090;902145090;259959
16;0;903809026;903809026;261874
17;0;905482301;905482301;251090
18;0;907150814;907150814;260115
19;0;908827568;908827568;259998
20;0;910493274;910493274;260051
21;2869;912169356;912172225;228789
22;0;913855509;913855509;232616
23;0;915546667;915546667;147660
24;0;917229524;917229524;149010

